time;Time Code;country;Country Code;current_health_exp;gdpgrowth;gdppercap;lifeexp_total;lifeexp_male;lifeexp_female;urbanpop
2016;YR2016;United Kingdom;GBR;9,76;1,79;42201,64;81,16;79,40;83,00;82,89
2016;YR2016;United States;USA;17,07;1,57;52534,37;78,54;76,10;81,10;81,86
2016;YR2016;Uruguay;URY;9,06;1,69;14124,14;77,50;73,66;81,12;95,14
2016;YR2016;Uzbekistan;UZB;6,34;6,09;1909,44;71,17;69,00;73,33;50,65
2016;YR2016;Vanuatu;VUT;3,69;4,00;2791,84;70,02;68,54;71,67;25,06
2016;YR2016;Venezuela, RB;VEN;3,22;..;..;72,41;68,69;76,35;88,17
2016;YR2016;Vietnam;VNM;5,66;6,21;1752,53;75,17;71,05;79,29;34,51
2016;YR2016;Virgin Islands (U.S.);VIR;..;0,90;29729,22;79,27;76,00;82,70;95,48
2016;YR2016;West Bank and Gaza;PSE;..;4,71;2694,52;73,59;71,95;75,31;75,63
2016;YR2016;Yemen, Rep.;YEM;..;-13,62;765,60;66,09;64,42;67,79;35,39
2016;YR2016;Zambia;ZMB;4,48;3,76;1652,28;62,46;59,70;65,17;42,44
2016;YR2016;Zimbabwe;ZWE;9,41;0,76;1224,31;60,29;58,57;61,72;32,30
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Data from database: World Development Indicators;;;;;;;;;;
Last Updated: 09/19/2019;;;;;;;;;;
